date,sales
2016-01-04,15478.0
2016-01-05,5826.0
2016-01-06,6790.008
2016-01-07,5153.61
2016-01-08,4616.0
2016-01-10,10.0
2016-01-11,8700.024
2016-01-12,8584.0
2016-01-13,4223.0
2016-01-14,8604.0
2016-01-15,5355.0
2016-01-18,9936.0
2016-01-19,6251.0
2016-01-20,7311.0
2016-01-21,5510.7
2016-01-22,4766.0
2016-01-25,8348.0
2016-01-26,6894.7
2016-01-27,5087.0
2016-01-28,4867.0
2016-01-29,5462.0
2016-02-01,7336.72
2016-02-02,8096.0
2016-02-03,6111.0
2016-02-04,8173.0
2016-02-05,4794.0
2016-02-08,8903.08
2016-02-09,6343.0
2016-02-10,5843.0
2016-02-11,5420.0
2016-02-12,6428.436
2016-02-15,8667.0
2016-02-16,6299.0
2016-02-17,5352.0
2016-02-18,6652.0
2016-02-19,4946.236
2016-02-22,8538.0
2016-02-23,6408.0
2016-02-24,3609.0
2016-02-25,5769.0
2016-02-26,5340.0
2016-02-29,8827.08
2016-03-01,6025.0
2016-03-02,7816.0
2016-03-03,5580.0
2016-03-04,6479.0
2016-03-07,10557.0
2016-03-08,6466.2880000000005
2016-03-09,6980.0
2016-03-10,4836.0
2016-03-11,4952.0
2016-03-14,7710.478
2016-03-15,5239.0
2016-03-16,7140.0
2016-03-17,5174.0
2016-03-18,4554.0
2016-03-21,14993.0
2016-03-22,6512.78
2016-03-23,7349.0
2016-03-24,5776.0
2016-03-25,3972.0
2016-03-28,5552.0
2016-03-29,6947.0
2016-03-30,5482.0
2016-03-31,4749.0
2016-04-01,6701.0
2016-04-04,12013.0
2016-04-05,8299.0
2016-04-06,8456.0
2016-04-07,5652.0
2016-04-08,6566.0
2016-04-11,8972.974
2016-04-12,7205.0
2016-04-13,7178.0
2016-04-14,5078.0
2016-04-15,5568.0
2016-04-18,7948.113
2016-04-19,6466.0
2016-04-20,8385.16
2016-04-21,5176.0
2016-04-22,6771.458
2016-04-25,7738.0
2016-04-26,6432.0
2016-04-27,5264.0
2016-04-28,6003.0
2016-04-29,6155.0
2016-05-01,70.0
2016-05-02,8605.0
2016-05-03,6182.0
2016-05-04,6943.0
2016-05-05,2372.0
2016-05-06,3392.0
2016-05-09,7778.0
2016-05-10,6505.0
2016-05-11,8112.08
2016-05-12,6787.55
2016-05-13,5782.0
2016-05-16,4544.0
2016-05-17,6054.0
2016-05-18,4650.0
2016-05-19,5878.0
2016-05-20,8038.0
2016-05-22,2.0
2016-05-23,10982.0
2016-05-24,7192.0
2016-05-25,7009.0
2016-05-26,4961.0
2016-05-27,7083.0
2016-05-30,10182.0
2016-05-31,7336.11
2016-06-01,6422.0
2016-06-02,6751.0
2016-06-03,5478.0
2016-06-06,9208.0
2016-06-07,7051.0
2016-06-08,6918.0
2016-06-09,5475.0
2016-06-10,5839.0
2016-06-13,10836.386
2016-06-14,6992.352
2016-06-15,6804.0
2016-06-16,4559.0
2016-06-17,5470.96
2016-06-20,7597.08
2016-06-21,8623.0
2016-06-22,6119.0
2016-06-23,5456.0
2016-06-24,4691.0
2016-06-26,10.0
2016-06-27,8031.52
2016-06-28,8952.0
2016-06-29,6887.0
2016-06-30,6009.4
2016-07-01,7463.465
2016-07-04,10984.0
2016-07-05,11026.0
2016-07-06,5966.0
2016-07-07,6718.0
2016-07-08,6478.0
2016-07-11,8266.0
2016-07-12,8964.0
2016-07-13,6996.0
2016-07-14,2501.0
2016-07-15,4100.0
2016-07-18,6468.0
2016-07-19,8528.0
2016-07-20,8287.0
2016-07-21,6754.0
2016-07-22,6418.0
2016-07-25,8857.08
2016-07-26,5086.0
2016-07-27,6729.0
2016-07-28,4301.52
2016-07-29,6245.0
2016-07-31,8.0
2016-08-01,5539.0
2016-08-02,7805.465
2016-08-03,4460.0
2016-08-04,2839.0
2016-08-05,3363.0
2016-08-08,9704.0
2016-08-09,4448.08
2016-08-10,3872.0
2016-08-11,3832.0
2016-08-12,3236.0
2016-08-14,12.0
2016-08-15,3840.0
2016-08-16,4025.0
2016-08-17,4346.0
2016-08-18,4620.0
2016-08-19,5791.0
2016-08-22,5914.0
2016-08-23,6545.0
2016-08-24,4530.0
2016-08-25,2872.0
2016-08-26,3837.0
2016-08-29,15557.5
2016-08-30,6308.16
2016-08-31,4647.0
2016-09-01,4161.0
2016-09-02,3894.0
2016-09-05,8326.0
2016-09-06,9535.0
2016-09-07,7795.0
2016-09-08,4885.0
2016-09-09,6769.0
2016-09-12,9031.0
2016-09-13,7613.0
2016-09-14,6914.0
2016-09-15,5202.0
2016-09-16,7168.0
2016-09-19,10878.0
2016-09-20,8347.0
2016-09-21,7394.0
2016-09-22,5585.3
2016-09-23,5210.0
2016-09-25,36.0
2016-09-26,7962.0
2016-09-27,6775.0
2016-09-28,8159.0
2016-09-29,6505.0
2016-09-30,6446.0
2016-10-02,18.0
2016-10-03,8972.0
2016-10-04,6649.0
2016-10-05,6549.0
2016-10-06,7706.0
2016-10-07,8202.024
2016-10-10,8592.0
2016-10-11,7528.0
2016-10-12,6811.0
2016-10-13,4571.0
2016-10-14,5327.08
2016-10-17,8419.0
2016-10-18,5936.0
2016-10-19,6355.0
2016-10-20,6398.0
2016-10-21,7256.362
2016-10-23,120.0
2016-10-24,6968.0
2016-10-25,4561.0
2016-10-26,3990.0
2016-10-27,5496.0
2016-10-28,5723.0
2016-10-31,6398.0
2016-11-01,3553.0
2016-11-02,3666.0
2016-11-03,6432.0
2016-11-04,6929.0
2016-11-07,8754.59
2016-11-08,7161.0
2016-11-09,6391.478
2016-11-10,5242.1
2016-11-11,3611.0
2016-11-14,7646.0
2016-11-15,7745.0
2016-11-16,8014.0
2016-11-17,4985.0
2016-11-18,6657.0
2016-11-21,7981.0
2016-11-22,9117.0
2016-11-23,5180.638
2016-11-24,4511.0
2016-11-25,5556.0
2016-11-28,11280.0
2016-11-29,9951.0
2016-11-30,7016.2
2016-12-01,5342.87
2016-12-02,6802.0
2016-12-05,8306.08
2016-12-06,8310.0
2016-12-07,6973.0
2016-12-08,5647.16
2016-12-09,6296.0
2016-12-12,9394.0
2016-12-13,5664.0
2016-12-14,4310.0
2016-12-15,4476.05
2016-12-16,6420.0
2016-12-19,19868.0
2016-12-20,21999.0
2016-12-21,12426.673999999999
2016-12-22,4029.0
2016-12-23,18052.37
2016-12-26,5705.0
2016-12-27,4485.0
2016-12-28,4783.0
2016-12-29,3342.0
2016-12-30,0.0
2017-01-02,310.0
2017-01-05,537.78
2017-01-06,7981.258
2017-01-07,1034.0
2017-01-09,34108.08
2017-01-10,32631.16
2017-01-11,21908.516
2017-01-12,16515.0
2017-01-13,37781.0
2017-01-16,30307.0
2017-01-17,10968.0
2017-01-18,26629.0
2017-01-19,22943.056
2017-01-20,20560.0
2017-01-22,4920.0
2017-01-23,31529.0
2017-01-24,13945.0
2017-01-25,6409.0
2017-01-26,16104.0
2017-01-27,21042.0
2017-01-29,2217.0
2017-01-30,34231.0
2017-01-31,20641.0
2017-02-01,15345.0
2017-02-02,20450.86
2017-02-03,23750.0
2017-02-05,2049.0
2017-02-06,18012.43
2017-02-07,24269.86
2017-02-08,15915.0
2017-02-09,15019.0
2017-02-10,23342.0
2017-02-12,4165.0
2017-02-13,25388.48
2017-02-14,22462.16
2017-02-15,17486.0
2017-02-16,14135.0
2017-02-17,22664.02
2017-02-19,2992.0
2017-02-20,19102.24
2017-02-21,18146.554
2017-02-22,12938.0
2017-02-23,15772.0
2017-02-24,13601.0
2017-02-26,4152.0
2017-02-27,22495.0
2017-02-28,21570.0
2017-03-01,12759.0
2017-03-02,24715.0
